PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Male,AgeImputed,Embarked_C,Embarked_Q,Embarked_S,Embarked_missing,EmbarkedImputed,CabinLetter_A,CabinLetter_B,CabinLetter_C,CabinLetter_D,CabinLetter_E,CabinLetter_F,CabinLetter_G,CabinLetter_T,CabinLetter_missing,CabinLetterImputed,CabinNumber,CabinNumberImputed
49,0,3,28.0,2,0,21.6792,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
50,0,3,18.0,1,0,17.8,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
51,0,3,7.0,4,1,39.6875,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
52,0,3,21.0,0,0,7.8,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
53,1,1,49.0,1,0,76.7292,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,33,False
54,1,2,29.0,1,0,26.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
55,0,1,65.0,0,1,61.9792,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,30,False
56,1,1,28.0,0,0,35.5,1,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,52,False
57,1,2,21.0,0,0,10.5,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
58,0,3,28.5,0,0,7.2292,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
59,1,2,5.0,1,2,27.75,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
60,0,3,11.0,5,2,46.9,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
61,0,3,22.0,0,0,7.2292,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
62,1,1,38.0,0,0,80.0,0,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,28,False
63,0,1,45.0,1,0,83.475,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,83,False
64,0,3,4.0,3,2,27.9,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
65,0,1,28.0,0,0,27.7208,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
66,1,3,28.0,1,1,15.2458,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
67,1,2,29.0,0,0,10.5,0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,33,False
68,0,3,19.0,0,0,8.1583,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
69,1,3,17.0,4,2,7.925,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
70,0,3,26.0,2,0,8.6625,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
71,0,2,32.0,0,0,10.5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
72,0,3,16.0,5,2,46.9,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
73,0,2,21.0,0,0,73.5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
74,0,3,26.0,1,0,14.4542,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
75,1,3,32.0,0,0,56.4958,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
76,0,3,25.0,0,0,7.65,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0,True
77,0,3,28.0,0,0,7.8958,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
78,0,3,28.0,0,0,8.05,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
79,1,2,0.83,0,2,29.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
80,1,3,30.0,0,0,12.475,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
81,0,3,22.0,0,0,9.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
82,1,3,29.0,0,0,9.5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
83,1,3,28.0,0,0,7.7875,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
84,0,1,28.0,0,0,47.1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
85,1,2,17.0,0,0,10.5,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
86,1,3,33.0,3,0,15.85,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
87,0,3,16.0,1,3,34.375,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
88,0,3,28.0,0,0,8.05,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
89,1,1,23.0,3,2,263.0,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,23,False
90,0,3,24.0,0,0,8.05,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
91,0,3,29.0,0,0,8.05,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
92,0,3,20.0,0,0,7.8542,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
93,0,1,46.0,1,0,61.175,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,31,False
94,0,3,26.0,1,2,20.575,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
95,0,3,59.0,0,0,7.25,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
96,0,3,28.0,0,0,8.05,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
97,0,1,71.0,0,0,34.6542,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,5,False
98,1,1,23.0,0,1,63.3583,1,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,10,False
99,1,2,34.0,0,1,23.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
100,0,2,34.0,1,0,26.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
101,0,3,28.0,0,0,7.8958,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
102,0,3,28.0,0,0,7.8958,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
103,0,1,21.0,0,1,77.2875,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,26,False
104,0,3,33.0,0,0,8.6542,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
105,0,3,37.0,2,0,7.925,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
106,0,3,28.0,0,0,7.8958,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
107,1,3,21.0,0,0,7.65,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
108,1,3,28.0,0,0,7.775,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
109,0,3,38.0,0,0,7.8958,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
110,1,3,28.0,1,0,24.15,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
111,0,1,47.0,0,0,52.0,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,110,False
112,0,3,14.5,1,0,14.4542,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
113,0,3,22.0,0,0,8.05,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
114,0,3,20.0,1,0,9.825,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
115,0,3,17.0,0,0,14.4583,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
116,0,3,21.0,0,0,7.925,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
117,0,3,70.5,0,0,7.75,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
118,0,2,29.0,1,0,21.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
119,0,1,24.0,0,1,247.5208,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,58,False
120,0,3,2.0,4,2,31.275,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
121,0,2,21.0,2,0,73.5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
122,0,3,28.0,0,0,8.05,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
123,0,2,32.5,1,0,30.0708,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
124,1,2,32.5,0,0,13.0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,101,False
125,0,1,54.0,0,1,77.2875,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,26,False
126,1,3,12.0,1,0,11.2417,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
127,0,3,28.0,0,0,7.75,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
128,1,3,24.0,0,0,7.1417,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
129,1,3,28.0,1,1,22.3583,0,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0,True
130,0,3,45.0,0,0,6.975,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
131,0,3,33.0,0,0,7.8958,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
132,0,3,20.0,0,0,7.05,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
133,0,3,47.0,1,0,14.5,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
134,1,2,29.0,1,0,26.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
135,0,2,25.0,0,0,13.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
136,0,2,23.0,0,0,15.0458,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
137,1,1,19.0,0,2,26.2833,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,47,False
138,0,1,37.0,1,0,53.1,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,123,False
139,0,3,16.0,0,0,9.2167,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
140,0,1,24.0,0,0,79.2,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,86,False
141,0,3,28.0,0,2,15.2458,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
142,1,3,22.0,0,0,7.75,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
143,1,3,24.0,1,0,15.85,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
144,0,3,19.0,0,0,6.75,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
145,0,2,18.0,0,0,11.5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
146,0,2,19.0,1,1,36.75,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
147,1,3,27.0,0,0,7.7958,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
148,0,3,9.0,2,2,34.375,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
149,0,2,36.5,0,2,26.0,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2,False
150,0,2,42.0,0,0,13.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
151,0,2,51.0,0,0,12.525,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
152,1,1,22.0,1,0,66.6,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,2,False
153,0,3,55.5,0,0,8.05,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
154,0,3,40.5,0,2,14.5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
155,0,3,28.0,0,0,7.3125,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
156,0,1,51.0,0,1,61.3792,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
157,1,3,16.0,0,0,7.7333,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
158,0,3,30.0,0,0,8.05,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
159,0,3,28.0,0,0,8.6625,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
160,0,3,28.0,8,2,69.55,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
161,0,3,44.0,0,1,16.1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
162,1,2,40.0,0,0,15.75,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
163,0,3,26.0,0,0,7.775,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
164,0,3,17.0,0,0,8.6625,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
165,0,3,1.0,4,1,39.6875,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
166,1,3,9.0,0,2,20.525,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
167,1,1,28.0,0,1,55.0,0,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,33,False
168,0,3,45.0,1,4,27.9,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
169,0,1,28.0,0,0,25.925,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
170,0,3,28.0,0,0,56.4958,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
171,0,1,61.0,0,0,33.5,1,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,19,False
172,0,3,4.0,4,1,29.125,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
173,1,3,1.0,1,1,11.1333,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
174,0,3,21.0,0,0,7.925,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
175,0,1,56.0,0,0,30.6958,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,7,False
176,0,3,18.0,1,1,7.8542,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
177,0,3,28.0,3,1,25.4667,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
178,0,1,50.0,0,0,28.7125,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,49,False
179,0,2,30.0,0,0,13.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
180,0,3,36.0,0,0,0.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
181,0,3,28.0,8,2,69.55,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
182,0,2,28.0,0,0,15.05,1,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
183,0,3,9.0,4,2,31.3875,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
184,1,2,1.0,2,1,39.0,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,4,False
185,1,3,4.0,0,2,22.025,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
186,0,1,28.0,0,0,50.0,1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,32,False
187,1,3,28.0,1,0,15.5,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
188,1,1,45.0,0,0,26.55,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
189,0,3,40.0,1,1,15.5,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
190,0,3,36.0,0,0,7.8958,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
191,1,2,32.0,0,0,13.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
192,0,2,19.0,0,0,13.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
193,1,3,19.0,1,0,7.8542,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
194,1,2,3.0,1,1,26.0,1,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2,False
195,1,1,44.0,0,0,27.7208,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,4,False
196,1,1,58.0,0,0,146.5208,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,80,False
197,0,3,28.0,0,0,7.75,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
198,0,3,42.0,0,1,8.4042,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
199,1,3,28.0,0,0,7.75,0,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
200,0,2,24.0,0,0,13.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
201,0,3,28.0,0,0,9.5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
202,0,3,28.0,8,2,69.55,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
203,0,3,34.0,0,0,6.4958,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
204,0,3,45.5,0,0,7.225,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
205,1,3,18.0,0,0,8.05,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
206,0,3,2.0,0,1,10.4625,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,6,False
207,0,3,32.0,1,0,15.85,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
208,1,3,26.0,0,0,18.7875,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
209,1,3,16.0,0,0,7.75,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
210,1,1,40.0,0,0,31.0,1,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,31,False
211,0,3,24.0,0,0,7.05,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
212,1,2,35.0,0,0,21.0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
213,0,3,22.0,0,0,7.25,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
214,0,2,30.0,0,0,13.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
215,0,3,28.0,1,0,7.75,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
216,1,1,31.0,1,0,113.275,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,36,False
217,1,3,27.0,0,0,7.925,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
218,0,2,42.0,1,0,27.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
219,1,1,32.0,0,0,76.2917,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,15,False
220,0,2,30.0,0,0,10.5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
221,1,3,16.0,0,0,8.05,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
222,0,2,27.0,0,0,13.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
223,0,3,51.0,0,0,8.05,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
224,0,3,28.0,0,0,7.8958,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
225,1,1,38.0,1,0,90.0,1,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,93,False
226,0,3,22.0,0,0,9.35,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
227,1,2,19.0,0,0,10.5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
228,0,3,20.5,0,0,7.25,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
229,0,2,18.0,0,0,13.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
230,0,3,28.0,3,1,25.4667,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
231,1,1,35.0,1,0,83.475,0,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,83,False
232,0,3,29.0,0,0,7.775,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
233,0,2,59.0,0,0,13.5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
234,1,3,5.0,4,2,31.3875,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
235,0,2,24.0,0,0,10.5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
236,0,3,28.0,0,0,7.55,0,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
237,0,2,44.0,1,0,26.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
238,1,2,8.0,0,2,26.25,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
239,0,2,19.0,0,0,10.5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
240,0,2,33.0,0,0,12.275,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,0,True
241,0,3,28.0,1,0,14.4542,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,0,True
